Experiment,Mean Fitness,Median Fitness,Std Dev,Variance,Best Fitness,Worst Fitness,Average Time,Average Faculty Satisfaction,Average Conflicts,Average Constraint Violation Score,Improvement over Base TLBO (%)
Base TLBO,56.284929999999996,56.281,0.3690940080375615,0.13623038676923152,56.9812,55.138,2.9038756200003264,63.9375,0.0,0.0,0.0
TLBO + Dynamic Priority,73.22788,73.2396,0.12182426014129712,0.014841150358974433,73.424,72.9364,4.45918085999956,62.5625,0.0,0.0,30.10210726032707
TLBO + Dynamic Priority + Faculty Satisfaction,93.85470000000001,93.896,0.1268073523711657,0.01608010461538498,94.0332,93.5764,4.6557977274997935,92.5,0.0,0.0,66.74925241978629
Complete Adaptive TLBO,93.98617,93.9896,0.06505142029234359,0.004231687282051132,94.11,93.866,11.546873649999906,92.5,0.0,0.0,66.98283181661593
