Experiment,Seed,Run,Iteration,BestFitness,AverageFitness,WorstFitness,Conflicts,ConstraintViolationScore,FacultySatisfaction,TeachingFactor,LearningFactor,MutationRate,IterationTimeSeconds
Complete Adaptive TLBO,20260835,1,46,93.944,93.944,93.944,0,0,92.5,1.08,0.32,0.0369,0.0999
Complete Adaptive TLBO,20260835,1,47,93.944,93.944,93.944,0,0,92.5,1.06,0.315,0.0361,0.1067
Complete Adaptive TLBO,20260835,1,48,93.944,93.944,93.944,0,0,92.5,1.04,0.31,0.0355,0.1087
Complete Adaptive TLBO,20260835,1,49,93.944,93.944,93.944,0,0,92.5,1.02,0.305,0.0351,0.0996
Complete Adaptive TLBO,20260835,1,50,93.944,93.944,93.944,0,0,92.5,1.0,0.3,0.035,0.1161
Complete Adaptive TLBO,20260836,2,1,93.7512,46.6681,0.0,0,0,92.5,1.98,0.545,0.3231,0.3021
Complete Adaptive TLBO,20260836,2,2,93.7512,35.0466,0.0,0,0,92.5,1.96,0.54,0.3115,0.2627
Complete Adaptive TLBO,20260836,2,3,93.9672,23.4784,0.0,0,0,92.5,1.94,0.535,0.3001,0.3315
Complete Adaptive TLBO,20260836,2,4,93.9672,23.4918,0.0,0,0,92.5,1.92,0.53,0.2889,0.2403
Complete Adaptive TLBO,20260836,2,5,93.9672,23.4918,0.0,0,0,92.5,1.9,0.525,0.278,0.2681
Complete Adaptive TLBO,20260836,2,6,93.9672,23.4918,0.0,0,0,92.5,1.88,0.52,0.2673,0.2499
Complete Adaptive TLBO,20260836,2,7,93.9672,23.4918,0.0,0,0,92.5,1.86,0.515,0.2569,0.2736
Complete Adaptive TLBO,20260836,2,8,93.9672,23.4918,0.0,0,0,92.5,1.84,0.51,0.2467,0.2778
Complete Adaptive TLBO,20260836,2,9,93.9672,23.4918,0.0,0,0,92.5,1.82,0.505,0.2367,0.2899
Complete Adaptive TLBO,20260836,2,10,93.9672,23.4918,0.0,0,0,92.5,1.8,0.5,0.227,0.2725
Complete Adaptive TLBO,20260836,2,11,94.02,23.4984,0.0,0,0,92.5,1.78,0.495,0.2175,0.3269
Complete Adaptive TLBO,20260836,2,12,94.02,23.505,0.0,0,0,92.5,1.76,0.49,0.2083,0.2891
Complete Adaptive TLBO,20260836,2,13,94.02,35.1282,0.0,0,0,92.5,1.74,0.485,0.1993,0.264
Complete Adaptive TLBO,20260836,2,14,94.02,23.505,0.0,0,0,92.5,1.72,0.48,0.1905,0.2541
Complete Adaptive TLBO,20260836,2,15,94.02,23.505,0.0,0,0,92.5,1.7,0.475,0.182,0.2569
Complete Adaptive TLBO,20260836,2,16,94.02,23.505,0.0,0,0,92.5,1.68,0.47,0.1737,0.2761
Complete Adaptive TLBO,20260836,2,17,94.02,23.505,0.0,0,0,92.5,1.66,0.465,0.1657,0.2723
Complete Adaptive TLBO,20260836,2,18,94.02,23.505,0.0,0,0,92.5,1.64,0.46,0.1579,0.2701
Complete Adaptive TLBO,20260836,2,19,94.02,23.505,0.0,0,0,92.5,1.62,0.455,0.1503,0.2483
Complete Adaptive TLBO,20260836,2,20,94.02,23.505,0.0,0,0,92.5,1.6,0.45,0.143,0.303
Complete Adaptive TLBO,20260836,2,21,94.02,23.505,0.0,0,0,92.5,1.58,0.445,0.1359,0.2669
Complete Adaptive TLBO,20260836,2,22,94.028,23.506,0.0,0,0,92.5,1.56,0.44,0.1291,0.2843
Complete Adaptive TLBO,20260836,2,23,94.028,23.507,0.0,0,0,92.5,1.54,0.435,0.1225,0.2481
Complete Adaptive TLBO,20260836,2,24,94.056,23.5105,0.0,0,0,92.5,1.52,0.43,0.1161,0.2907
Complete Adaptive TLBO,20260836,2,25,94.056,23.514,0.0,0,0,92.5,1.5,0.425,0.11,0.2681
Complete Adaptive TLBO,20260836,2,26,94.056,23.514,0.0,0,0,92.5,1.48,0.42,0.1041,0.2552
Complete Adaptive TLBO,20260836,2,27,94.056,23.514,0.0,0,0,92.5,1.46,0.415,0.0985,0.215
Complete Adaptive TLBO,20260836,2,28,94.056,23.514,0.0,0,0,92.5,1.44,0.41,0.0931,0.2651
Complete Adaptive TLBO,20260836,2,29,94.086,35.1448,0.0,0,0,92.5,1.42,0.405,0.0879,0.2906
Complete Adaptive TLBO,20260836,2,30,94.086,23.5215,0.0,0,0,92.5,1.4,0.4,0.083,0.2614
Complete Adaptive TLBO,20260836,2,31,94.086,35.2059,0.0,0,0,92.5,1.38,0.395,0.0783,0.2537
Complete Adaptive TLBO,20260836,2,32,94.086,46.8303,0.0,0,0,92.5,1.36,0.39,0.0739,0.23
Complete Adaptive TLBO,20260836,2,33,94.086,35.0794,0.0,0,0,92.5,1.34,0.385,0.0697,0.2332
Complete Adaptive TLBO,20260836,2,34,94.11,35.08,0.0,0,0,92.5,1.32,0.38,0.0657,0.2932
Complete Adaptive TLBO,20260836,2,35,94.11,58.434,0.0,0,0,92.5,1.3,0.375,0.062,0.2053
Complete Adaptive TLBO,20260836,2,36,94.11,81.977,0.0,0,0,92.5,1.28,0.37,0.0585,0.2041
Complete Adaptive TLBO,20260836,2,37,94.11,93.753,92.7218,0,0,92.5,1.26,0.365,0.0553,0.1877
Complete Adaptive TLBO,20260836,2,38,94.11,93.9523,93.4024,0,0,92.5,1.24,0.36,0.0523,0.1634
Complete Adaptive TLBO,20260836,2,39,94.11,94.0408,93.556,0,0,92.5,1.22,0.355,0.0495,0.1417
Complete Adaptive TLBO,20260836,2,40,94.11,94.11,94.11,0,0,92.5,1.2,0.35,0.047,0.1137
Complete Adaptive TLBO,20260836,2,41,94.11,94.11,94.11,0,0,92.5,1.18,0.345,0.0447,0.1159
Complete Adaptive TLBO,20260836,2,42,94.11,94.11,94.11,0,0,92.5,1.16,0.34,0.0427,0.1179
Complete Adaptive TLBO,20260836,2,43,94.11,94.11,94.11,0,0,92.5,1.14,0.335,0.0409,0.0986
Complete Adaptive TLBO,20260836,2,44,94.11,94.11,94.11,0,0,92.5,1.12,0.33,0.0393,0.1023
Complete Adaptive TLBO,20260836,2,45,94.11,94.11,94.11,0,0,92.5,1.1,0.325,0.038,0.1023
Complete Adaptive TLBO,20260836,2,46,94.11,94.11,94.11,0,0,92.5,1.08,0.32,0.0369,0.1037
Complete Adaptive TLBO,20260836,2,47,94.11,94.11,94.11,0,0,92.5,1.06,0.315,0.0361,0.1007
Complete Adaptive TLBO,20260836,2,48,94.11,94.11,94.11,0,0,92.5,1.04,0.31,0.0355,0.1042
Complete Adaptive TLBO,20260836,2,49,94.11,94.11,94.11,0,0,92.5,1.02,0.305,0.0351,0.1152
Complete Adaptive TLBO,20260836,2,50,94.11,94.11,94.11,0,0,92.5,1.0,0.3,0.035,0.0993
Complete Adaptive TLBO,20260837,3,1,93.0792,23.2396,0.0,0,0,92.5,1.98,0.545,0.3231,0.2871
Complete Adaptive TLBO,20260837,3,2,93.2356,23.2893,0.0,0,0,92.5,1.96,0.54,0.3115,0.3199
Complete Adaptive TLBO,20260837,3,3,93.2822,23.3147,0.0,0,0,91.25,1.94,0.535,0.3001,0.331
Complete Adaptive TLBO,20260837,3,4,93.378,23.3325,0.0,0,0,92.5,1.92,0.53,0.2889,0.2912
