Experiment,Run,Seed,Fitness,FacultySatisfaction,Conflicts,ConstraintViolationScore,ExecutionTimeSeconds,IterationsCompleted
TLBO + Dynamic Priority,31,20260785,73.3812,67.5,0,0,4.5400284999996074,50
TLBO + Dynamic Priority,32,20260786,73.216,62.5,0,0,5.178648799999792,50
TLBO + Dynamic Priority,33,20260787,72.9504,63.75,0,0,4.032384499998443,50
TLBO + Dynamic Priority,34,20260788,73.424,67.5,0,0,5.6231308999995235,50
TLBO + Dynamic Priority,35,20260789,73.3372,61.25,0,0,4.269377699998586,50
TLBO + Dynamic Priority,36,20260790,73.288,65.0,0,0,4.789398599998094,50
TLBO + Dynamic Priority,37,20260791,73.26,58.75,0,0,4.787297499999113,50
TLBO + Dynamic Priority,38,20260792,73.334,63.75,0,0,4.8019920000006096,50
TLBO + Dynamic Priority,39,20260793,73.1852,62.5,0,0,4.4625522999995155,50
TLBO + Dynamic Priority,40,20260794,73.356,66.25,0,0,4.0754078999998455,50
TLBO + Dynamic Priority + Faculty Satisfaction,1,20260795,93.892,92.5,0,0,5.165064400000119,50
TLBO + Dynamic Priority + Faculty Satisfaction,2,20260796,93.9032,92.5,0,0,4.521543399998336,50
TLBO + Dynamic Priority + Faculty Satisfaction,3,20260797,93.9572,92.5,0,0,4.602274999997462,50
TLBO + Dynamic Priority + Faculty Satisfaction,4,20260798,93.918,92.5,0,0,5.085371599998325,50
TLBO + Dynamic Priority + Faculty Satisfaction,5,20260799,93.848,92.5,0,0,4.159960100001626,50
TLBO + Dynamic Priority + Faculty Satisfaction,6,20260800,93.972,92.5,0,0,4.244351200002711,50
TLBO + Dynamic Priority + Faculty Satisfaction,7,20260801,93.76,92.5,0,0,4.534346299999015,50
TLBO + Dynamic Priority + Faculty Satisfaction,8,20260802,93.7972,92.5,0,0,3.3401745000010123,50
TLBO + Dynamic Priority + Faculty Satisfaction,9,20260803,93.96,92.5,0,0,4.543038799998612,50
TLBO + Dynamic Priority + Faculty Satisfaction,10,20260804,93.5984,92.5,0,0,4.766423499997472,50
TLBO + Dynamic Priority + Faculty Satisfaction,11,20260805,93.932,92.5,0,0,4.653885899999295,50
TLBO + Dynamic Priority + Faculty Satisfaction,12,20260806,93.6188,92.5,0,0,4.100610699999379,50
TLBO + Dynamic Priority + Faculty Satisfaction,13,20260807,93.624,92.5,0,0,4.430115999999543,50
TLBO + Dynamic Priority + Faculty Satisfaction,14,20260808,93.9392,92.5,0,0,4.946401999997761,50
TLBO + Dynamic Priority + Faculty Satisfaction,15,20260809,93.9972,92.5,0,0,5.151127699999051,50
TLBO + Dynamic Priority + Faculty Satisfaction,16,20260810,93.8112,92.5,0,0,5.030456500000582,50
TLBO + Dynamic Priority + Faculty Satisfaction,17,20260811,94.0032,92.5,0,0,4.9378006999977515,50
TLBO + Dynamic Priority + Faculty Satisfaction,18,20260812,93.9392,92.5,0,0,5.4536062000006496,50
TLBO + Dynamic Priority + Faculty Satisfaction,19,20260813,93.9,92.5,0,0,5.908067399999709,50
TLBO + Dynamic Priority + Faculty Satisfaction,20,20260814,93.7624,92.5,0,0,4.093485099998361,50
TLBO + Dynamic Priority + Faculty Satisfaction,21,20260815,94.0072,92.5,0,0,5.553010799998447,50
TLBO + Dynamic Priority + Faculty Satisfaction,22,20260816,93.886,92.5,0,0,4.709997800000565,50
TLBO + Dynamic Priority + Faculty Satisfaction,23,20260817,93.9192,92.5,0,0,4.69242210000084,50
TLBO + Dynamic Priority + Faculty Satisfaction,24,20260818,93.7632,92.5,0,0,4.018699399999605,50
TLBO + Dynamic Priority + Faculty Satisfaction,25,20260819,93.748,92.5,0,0,4.194687499999418,50
TLBO + Dynamic Priority + Faculty Satisfaction,26,20260820,93.9572,92.5,0,0,4.600307600001543,50
TLBO + Dynamic Priority + Faculty Satisfaction,27,20260821,93.738,92.5,0,0,5.7347178000018175,50
TLBO + Dynamic Priority + Faculty Satisfaction,28,20260822,93.7832,92.5,0,0,5.478088999996544,50
TLBO + Dynamic Priority + Faculty Satisfaction,29,20260823,93.7004,92.5,0,0,4.666356999998243,50
TLBO + Dynamic Priority + Faculty Satisfaction,30,20260824,93.794,92.5,0,0,4.647626600002695,50
TLBO + Dynamic Priority + Faculty Satisfaction,31,20260825,93.958,92.5,0,0,4.9965398000022105,50
TLBO + Dynamic Priority + Faculty Satisfaction,32,20260826,93.6972,92.5,0,0,4.904144800002541,50
TLBO + Dynamic Priority + Faculty Satisfaction,33,20260827,93.5764,92.5,0,0,4.094130000001314,50
TLBO + Dynamic Priority + Faculty Satisfaction,34,20260828,93.9672,92.5,0,0,4.248988500003179,50
TLBO + Dynamic Priority + Faculty Satisfaction,35,20260829,93.8056,92.5,0,0,3.895103899998503,50
TLBO + Dynamic Priority + Faculty Satisfaction,36,20260830,93.7716,92.5,0,0,4.291202199998224,50
TLBO + Dynamic Priority + Faculty Satisfaction,37,20260831,94.0,92.5,0,0,4.533718200000294,50
TLBO + Dynamic Priority + Faculty Satisfaction,38,20260832,93.9912,92.5,0,0,4.195670699999027,50
TLBO + Dynamic Priority + Faculty Satisfaction,39,20260833,93.958,92.5,0,0,4.638300200000231,50
TLBO + Dynamic Priority + Faculty Satisfaction,40,20260834,94.0332,92.5,0,0,4.470088199999736,50
Complete Adaptive TLBO,1,20260835,93.944,92.5,0,0,11.364942799998971,50
Complete Adaptive TLBO,2,20260836,94.11,92.5,0,0,11.59754619999876,50
Complete Adaptive TLBO,3,20260837,93.878,92.5,0,0,11.460916799998813,50
Complete Adaptive TLBO,4,20260838,93.936,92.5,0,0,11.551817600000504,50
Complete Adaptive TLBO,5,20260839,93.906,92.5,0,0,12.149269300000014,50
Complete Adaptive TLBO,6,20260840,94.016,92.5,0,0,12.226039900000615,50
Complete Adaptive TLBO,7,20260841,94.01,92.5,0,0,12.522504700002173,50
Complete Adaptive TLBO,8,20260842,94.006,92.5,0,0,11.168381400002545,50
Complete Adaptive TLBO,9,20260843,93.922,92.5,0,0,11.25282739999966,50
Complete Adaptive TLBO,10,20260844,93.956,92.5,0,0,11.002063299998554,50
Complete Adaptive TLBO,11,20260845,94.066,92.5,0,0,11.354196000000229,50
Complete Adaptive TLBO,12,20260846,94.04,92.5,0,0,11.615757600000506,50
Complete Adaptive TLBO,13,20260847,93.998,92.5,0,0,11.95980320000308,50
Complete Adaptive TLBO,14,20260848,94.052,92.5,0,0,11.46568649999972,50
Complete Adaptive TLBO,15,20260849,94.034,92.5,0,0,11.509266400000342,50
Complete Adaptive TLBO,16,20260850,93.934,92.5,0,0,11.76561159999983,50
Complete Adaptive TLBO,17,20260851,93.922,92.5,0,0,11.82656340000176,50
Complete Adaptive TLBO,18,20260852,93.964,92.5,0,0,10.912632399998984,50
Complete Adaptive TLBO,19,20260853,93.866,92.5,0,0,11.289798999998311,50
Complete Adaptive TLBO,20,20260854,94.044,92.5,0,0,10.839510199999495,50
Complete Adaptive TLBO,21,20260855,94.09,92.5,0,0,11.256358599999658,50
Complete Adaptive TLBO,22,20260856,94.064,92.5,0,0,11.074132499998086,50
Complete Adaptive TLBO,23,20260857,93.928,92.5,0,0,11.6478575000001,50
